ORGANIZATION_NAME,SHELTER_ID,LOCATION_ID,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,LOCATION_CITY,NEIGHBOURHOOD
Homes First Society,24,1380,HFS - Bloor West Shelter,NA,NA,NA,
Homes First Society,24,1380,Homes First Society - Pacewood,NA,NA,NA,
Homes First Society,24,NA,NA,NA,NA,NA,
Women's Hostels Inc.,27,1035,Nellie's Women's Shelter,NA,NA,NA,
Women's Hostels Inc.,27,1280,NA,NA,NA,NA,
Women's Hostels Inc.,27,NA,NA,NA,NA,NA,
St. Simon's Shelter Inc.,30,NA,NA,NA,NA,NA,
COSTI Immigrant Services,40,NA,NA,NA,NA,NA,
Fred Victor Centre,42,NA,NA,NA,NA,NA,
City of Toronto,82,1163,SSHA Etobicoke Hotel Program,NA,NA,NA,
City of Toronto,82,1163,TSSS Etobicoke Hotel Program,NA,NA,NA,
City of Toronto,82,NA,NA,NA,NA,NA,
City of Toronto,83,NA,NA,NA,NA,NA,
